,marca_caida,SEGMENTO,SEXO,ACTIVO,PASIVO,VOLUMEN DE NEGOCIO,RANGO_VOL,EDAD,RANGO_EDAD,CROSS_SELL O CANTIDAD DE PRODUCTOS,INGRESO_FINAL,BURO_DIC_20,BURO_ENE_21,BURO_FEB_21,MARCA TENENCIA,COLECTIVO_PRIMARIO,ACTIVO_NET,ACTIVO_MOVIL,MAR_INVERSIÃ“N_ACUM,MAR_RECURSOS_ACUM,RENTABILIDAD CLIENTE,activo_net,activo_movil,BAJO_BURO
12086,1,87000,M,,655.05,654,Menor a 1M,50.0,> 45 y <= 50 Anios,1.0,77287175326.0,773,773.0,609,,INDEPENDIENTES,,,0.0,26.25,26.25,0,0,1
12087,1,83000,F,17357337.55,11867.49,17369204,Entre 10M y 20M,64.0,> 55 y <= 64 Anios,3.0,43695870.0,816,754.0,553,,DOCENTES,,X,9265532.71,288758.31,96711717255.0,0,1,1
12088,1,84000,M,10187425.99,,10187425,Entre 10M y 20M,62.0,> 55 y <= 64 Anios,1.0,6644000.0,656,505.0,505,,OTROS,,,718888.2,0.0,718888.2,0,0,1
12089,1,85100,M,,0.0,0,Menor a 1M,58.0,> 55 y <= 64 Anios,1.0,81986458363.0,733,587.0,628,,,,,,,,0,0,1
12090,1,87000,M,,16910.64,16910,Menor a 1M,40.0,> 35 y <= 40 Anios,1.0,13402670179.0,622,568.0,557,,INDEPENDIENTES,,,0.0,677.81,677.81,0,0,1
12091,1,84000,F,9952111.18,1089466.48,11041577,Entre 10M y 20M,66.0,> 64 y <= 75 Anios,2.0,807503.0,799,799.0,577,PENSION,PENSIONADOS,,X,0.0,9246.92,-61296.08,0,1,1
12092,1,87000,F,,11966.0,11966,Menor a 1M,56.0,> 55 y <= 64 Anios,1.0,,778,778.0,682,,OTROS,,,0.0,479.62,479.62,0,0,1
12093,1,84000,M,42864781.83,0.0,42859767,Entre 20M y 50M,51.0,> 50 y <= 55 Anios,3.0,3862326.0,838,842.0,694,,DOCENTES,,,5550901.61,11789.26,57542425045.0,0,0,1
12094,1,84000,M,3773586.61,1120935.45,4894521,Entre 1M y 5M,80.0,Mayor a 75 Anios,2.0,4353679.0,895,844.0,758,PENSION,OTROS,,X,1150777.51,87974.49,1853513.82,0,1,1
12095,1,87000,M,,644.0,644,Menor a 1M,36.0,> 35 y <= 40 Anios,1.0,1282366346.0,622,622.0,507,,,,,0.0,25.8,25.8,0,0,1
12096,1,85100,F,,0.0,0,Menor a 1M,59.0,> 55 y <= 64 Anios,1.0,1782000.0,912,791.0,759,,OTROS,,,2443.52,0.0,233055.11,0,0,1
12097,1,84000,F,4425496.33,126957.66,4552452,Entre 1M y 5M,64.0,> 55 y <= 64 Anios,4.0,2253164.0,814,814.0,662,NOMINA,DOCENTES,,X,718273.43,4866.1,820226.37,0,1,1
12098,1,84000,F,5388804.57,581566.05,5970369,Entre 5M y 10M,73.0,> 64 y <= 75 Anios,4.0,1227325.0,853,735.0,673,PENSION,PENSIONADOS,,,574802.34,49802.72,7125567255.0,0,0,1
12099,1,87000,F,,6065.0,6065,Menor a 1M,57.0,> 55 y <= 64 Anios,1.0,12652588067.0,769,769.0,570,,OTROS,,,0.0,243.09,243.09,0,0,1
12100,1,85100,F,0.0,30000.0,30000,Menor a 1M,49.0,> 45 y <= 50 Anios,2.0,2067615.0,793,729.0,681,,OTROS,,,0.0,1202.46,1202.46,0,0,1
12101,1,85100,M,,6999.06,6998,Menor a 1M,64.0,> 55 y <= 64 Anios,2.0,31984677274.0,746,718.0,671,,INDEPENDIENTES,,,68135.03,258.34,68393.37,0,0,1
12102,1,87000,F,,4224.0,4224,Menor a 1M,53.0,> 50 y <= 55 Anios,1.0,1841015.0,857,876.0,733,,DOCENTES,,,0.0,169.31,169.31,0,0,1
12103,1,85100,M,,0.0,0,Menor a 1M,46.0,> 45 y <= 50 Anios,1.0,21106959926.0,671,177.0,566,,INDEPENDIENTES,,,,,,0,0,1
12104,1,87000,M,,1812.36,1812,Menor a 1M,54.0,> 50 y <= 55 Anios,1.0,5864672993.0,806,675.0,634,,INDEPENDIENTES,,,0.0,72.64,72.64,0,0,1
12105,1,87000,M,,1665.81,1665,Menor a 1M,68.0,> 64 y <= 75 Anios,1.0,28480103816.0,775,775.0,652,,,,,0.0,66.76,66.76,0,0,1
12106,1,84000,M,14589224.42,306152.26,14895376,Entre 10M y 20M,67.0,> 64 y <= 75 Anios,2.0,2611874.0,765,752.0,639,PENSION,PENSIONADOS,,,392247.6,19318.57,333917.67,0,0,1
12107,1,83000,M,123225880.97,128460.94,123354340,Entre 100M y 300M,68.0,> 64 y <= 75 Anios,3.0,1154358.0,850,729.0,692,PENSION,PENSIONADOS,,X,4355395.09,118733.99,4485382.58,0,1,1
12108,1,85100,F,,23703.07,23703,Menor a 1M,81.0,Mayor a 75 Anios,1.0,,842,748.0,748,,INDEPENDIENTES,,,0.0,950.06,950.06,0,0,1
12109,1,87000,M,,15027.52,15027,Menor a 1M,86.0,Mayor a 75 Anios,1.0,,790,639.0,694,,,,,0.0,602.34,602.34,0,0,1
12110,1,87000,M,,195.47,195,Menor a 1M,49.0,> 45 y <= 50 Anios,1.0,14331212592.0,882,882.0,788,,OTROS,,,0.0,7.83,7.83,0,0,1
12111,1,84000,M,200064840.57,1254830.79,201319669,Entre 100M y 300M,67.0,> 64 y <= 75 Anios,3.0,2836553.0,759,669.0,658,PENSION,PENSIONADOS,,,2281688.63,15792.51,2368540.14,0,0,1
12113,1,84000,F,,484394.71,484394,Menor a 1M,85.0,Mayor a 75 Anios,1.0,1639485.0,825,739.0,701,PENSION,PENSIONADOS,,,0.0,20591.73,88819.23,0,0,1
12114,1,87000,M,,19108.98,19108,Menor a 1M,77.0,Mayor a 75 Anios,1.0,,831,716.0,746,,,,,0.0,765.94,765.94,0,0,1
12115,1,87000,M,,8436.06,8436,Menor a 1M,41.0,> 40 y <= 45 Anios,1.0,87051515693.0,855,726.0,750,,,,,0.0,338.13,338.13,0,0,1
12116,1,84000,F,,1362703.24,1362703,Entre 1M y 5M,43.0,> 40 y <= 45 Anios,1.0,6160979.0,840,835.0,720,NOMINA,PENSIONADOS,X,X,0.0,66240.03,1098831855.0,1,1,1
12117,1,84000,F,26560560.0,20208.4,26580768,Entre 20M y 50M,73.0,> 64 y <= 75 Anios,2.0,980926.0,848,671.0,671,,OTROS,,,688165.34,8617.7,866843.79,0,0,1
12118,1,85100,F,,0.0,0,Menor a 1M,57.0,> 55 y <= 64 Anios,1.0,14396297431.0,837,660.0,677,,INDEPENDIENTES,,,,,,0,0,1
12119,1,87000,F,,30345.0,30345,Menor a 1M,63.0,> 55 y <= 64 Anios,1.0,12161977603.0,805,805.0,692,,INDEPENDIENTES,,,0.0,1216.31,1216.31,0,0,1
12120,1,84000,F,2474111.73,,2474111,Entre 1M y 5M,54.0,> 50 y <= 55 Anios,1.0,815258.0,883,765.0,765,,OTROS,,,1004187.61,0.0,1049489.61,0,0,1
12121,1,87000,F,,446.18,446,Menor a 1M,78.0,Mayor a 75 Anios,1.0,,767,652.0,628,,,,,0.0,17.88,17.88,0,0,1
12123,1,85100,F,,506.8,506,Menor a 1M,62.0,> 55 y <= 64 Anios,1.0,1332.0,818,816.0,598,,OTROS,,,0.0,1112.04,8119.04,0,0,1
12124,1,87000,M,,4398.02,4398,Menor a 1M,46.0,> 45 y <= 50 Anios,1.0,17922027094.0,733,733.0,587,,,,,0.0,176.28,176.28,0,0,1
12125,1,84000,M,1235514.4,752.95,1236266,Entre 1M y 5M,67.0,> 64 y <= 75 Anios,2.0,13575781299.0,639,507.0,538,,OTROS,,X,505858.66,30.17,565572.17,0,1,1
12126,1,82000,M,,114296061.09,114296059,Entre 100M y 300M,47.0,> 45 y <= 50 Anios,2.0,25664645501.0,767,803.0,596,,INDEPENDIENTES,,X,1138494.21,193746.11,2452707.22,0,1,1
12127,1,85100,M,,232194.68,232194,Menor a 1M,53.0,> 50 y <= 55 Anios,1.0,636764.0,818,818.0,711,NOMINA,OTROS,,X,,,,0,1,1
12130,1,85100,M,,29486.05,29486,Menor a 1M,51.0,> 50 y <= 55 Anios,1.0,5460000.0,855,729.0,758,,INDEPENDIENTES,,,0.0,1181.89,1181.89,0,0,1
12134,1,84000,M,13355701.61,0.0,13355701,Entre 10M y 20M,57.0,> 55 y <= 64 Anios,3.0,1904.0,763,724.0,549,,INDEPENDIENTES,,,1764140.59,7683.47,18484853945.0,0,0,1
12135,1,87000,M,,747.84,747,Menor a 1M,80.0,Mayor a 75 Anios,1.0,,899,899.0,805,,,,,0.0,29.99,29.99,0,0,1
12138,1,87000,F,,44139.86,44139,Menor a 1M,52.0,> 50 y <= 55 Anios,1.0,13659024.93,669,669.0,513,,INDEPENDIENTES,,,0.0,1769.21,1769.21,0,0,1
12140,1,84000,F,,124933.36,124932,Menor a 1M,71.0,> 64 y <= 75 Anios,1.0,828111.0,656,647.0,511,PENSION,PENSIONADOS,,X,0.0,64087.26,141349591.0,0,1,1
12151,1,87000,M,,20000.0,20000,Menor a 1M,46.0,> 45 y <= 50 Anios,1.0,20036752139.0,808,838.0,681,,,,,0.0,801.66,801.66,0,0,1
12152,1,84000,F,21773390.62,1679.34,21775068,Entre 20M y 50M,51.0,> 50 y <= 55 Anios,3.0,1620000.0,816,801.0,733,,INDEPENDIENTES,,,1958739.96,67.31,2458831.34,0,0,1
12153,1,87000,F,,543.84,543,Menor a 1M,59.0,> 55 y <= 64 Anios,1.0,,793,656.0,675,,OTROS,,,0.0,21.81,21.81,0,0,1
12159,1,83000,M,202794233.21,152972.01,202947203,Entre 100M y 300M,63.0,> 55 y <= 64 Anios,3.0,1161282.0,771,771.0,566,PENSION,PENSIONADOS,,X,7516151.21,705506.91,8513903011.0,0,1,1
12160,1,84000,F,16429510.61,,0,Menor a 1M,50.0,> 45 y <= 50 Anios,2.0,2852000.0,743,549.0,549,,OTROS,,X,2329543.61,0.0,2393368.86,0,1,1
12161,1,84000,F,,3258.79,3258,Menor a 1M,49.0,> 45 y <= 50 Anios,1.0,1429366.0,711,671.0,637,PENSION,PENSIONADOS,,X,0.0,639.91,202250.91,0,1,1
12162,1,85100,F,,0.0,0,Menor a 1M,40.0,> 35 y <= 40 Anios,1.0,1273200.0,833,833.0,720,,,,,0.0,0.0,0.0,0,0,1
12163,1,84000,M,38638310.31,403798.69,39042108,Entre 20M y 50M,45.0,> 40 y <= 45 Anios,2.0,13200560.0,752,752.0,634,,OTROS,,X,6106201.64,5.41,6232776.87,0,1,1
12164,1,85100,M,,22022.0,22022,Menor a 1M,72.0,> 64 y <= 75 Anios,1.0,1277.0,846,846.0,729,,,,,0.0,4611.29,4611.29,0,0,1
12165,1,85100,F,,0.01,0,Menor a 1M,59.0,> 55 y <= 64 Anios,1.0,,771,671.0,507,,,,,0.0,0.0,0.0,0,0,1
12166,1,84000,M,,56036.6,56036,Menor a 1M,61.0,> 55 y <= 64 Anios,1.0,16115707772.0,641,641.0,572,,OTROS,,X,0.0,11411.76,28621.77,0,1,1
12167,1,85100,F,,0.0,0,Menor a 1M,49.0,> 45 y <= 50 Anios,1.0,1726.0,739,598.0,598,,OTROS,,,0.0,937.71,-18232.79,0,0,1
12168,1,85100,M,,0.0,0,Menor a 1M,67.0,> 64 y <= 75 Anios,1.0,11144002796.0,808,808.0,696,,,,,,,,0,0,1
12169,1,85100,M,,0.0,0,Menor a 1M,61.0,> 55 y <= 64 Anios,1.0,27328383481.0,872,769.0,769,,,,,,,,0,0,1
12170,1,82000,F,,3152454.75,3152454,Entre 1M y 5M,62.0,> 55 y <= 64 Anios,1.0,13784613.0,737,756.0,564,AMBOS,PENSIONADOS,X,X,0.0,42088.01,-54653245.0,1,1,1
12171,1,85100,F,,0.0,0,Menor a 1M,47.0,> 45 y <= 50 Anios,1.0,11355420215.0,596,596.0,536,,,,,,,,0,0,1
12172,1,83000,F,117110072.07,1175979.7,118286051,Entre 100M y 300M,47.0,> 45 y <= 50 Anios,2.0,3568050.0,782,619.0,581,NOMINA,FUERZAS MILITARES,X,X,9589922.8,50330.72,9761895.52,1,1,1
12173,1,85100,M,,0.0,0,Menor a 1M,69.0,> 64 y <= 75 Anios,1.0,39187247535.0,825,835.0,658,,,,,,,,0,0,1
12174,1,84000,M,21388870.05,0.0,21388870,Entre 20M y 50M,56.0,> 55 y <= 64 Anios,3.0,4095145.0,634,654.0,521,,DOCENTES,,,3053318.76,0.0,3266783.76,0,0,1
12175,1,85100,M,,10777.56,10777,Menor a 1M,61.0,> 55 y <= 64 Anios,1.0,4471130.0,733,746.0,566,,OTROS,,,0.0,431.98,431.98,0,0,1
12176,1,87000,M,,4692.0,4692,Menor a 1M,58.0,> 55 y <= 64 Anios,1.0,1188548597.0,810,697.0,697,,,,,0.0,188.04,188.04,0,0,1
12177,1,82000,M,,256094728.41,255688767,Entre 100M y 300M,87.0,Mayor a 75 Anios,2.0,,906,855.0,795,,OTROS,,,0.0,362133.37,494473.37,0,0,1
12178,1,85100,M,,0.0,0,Menor a 1M,69.0,> 64 y <= 75 Anios,1.0,11291958409.0,818,709.0,709,,,,,,,,0,0,1
12179,1,84000,M,0.0,514695.44,514693,Menor a 1M,64.0,> 55 y <= 64 Anios,3.0,4364800.0,803,660.0,652,,INDEPENDIENTES,X,X,174117.01,597705.41,1047733.23,1,1,1
12180,1,87000,M,,27498.0,27498,Menor a 1M,52.0,> 50 y <= 55 Anios,1.0,12754392625.0,870,769.0,769,,,,,0.0,1102.19,1102.19,0,0,1
12181,1,85100,M,,43737.94,43737,Menor a 1M,69.0,> 64 y <= 75 Anios,1.0,5229160.0,895,806.0,622,,DOCENTES,,,0.0,1753.12,1753.12,0,0,1
12183,1,84000,M,2877227.3,169885.83,3047112,Entre 1M y 5M,54.0,> 50 y <= 55 Anios,2.0,1755198.0,821,788.0,666,NOMINA,PENSIONADOS,,,720465.49,13648.3,625157.79,0,0,1
12184,1,87000,M,,4323.86,4323,Menor a 1M,89.0,Mayor a 75 Anios,1.0,,899,805.0,805,,,,,0.0,173.32,173.32,0,0,1
12185,1,85100,M,,0.0,0,Menor a 1M,70.0,> 64 y <= 75 Anios,1.0,91395948936.0,733,733.0,590,,INDEPENDIENTES,,,,,,0,0,1
12186,1,84000,M,1841427.77,0.0,1841427,Entre 1M y 5M,56.0,> 55 y <= 64 Anios,2.0,2473200.0,763,737.0,675,,OTROS,,X,2619940.66,0.0,2811737.0,0,1,1
12187,1,84000,M,,11050.11,11050,Menor a 1M,72.0,> 64 y <= 75 Anios,1.0,1129708.0,731,519.0,594,PENSION,PENSIONADOS,,X,0.0,5769.9,-65873.1,0,1,1
12188,1,84000,M,8661029.03,86829.17,8747857,Entre 5M y 10M,66.0,> 64 y <= 75 Anios,3.0,2091986.0,788,752.0,703,PENSION,PENSIONADOS,,X,3786163.36,64821.4,4203070.24,0,1,1
12189,1,84000,M,,2106627.28,2106626,Entre 1M y 5M,62.0,> 55 y <= 64 Anios,1.0,1006545.0,728,739.0,566,PENSION,PENSIONADOS,,X,0.0,340.38,-8761.37,0,1,1
12190,1,87000,F,,4146.7,4146,Menor a 1M,55.0,> 50 y <= 55 Anios,1.0,3420000.0,880,820.0,744,,DOCENTES,,,0.0,166.2,166.2,0,0,1
12192,1,87000,F,,205.0,205,Menor a 1M,62.0,> 55 y <= 64 Anios,1.0,22691837038.0,893,893.0,752,,INDEPENDIENTES,,,0.0,8.21,8.21,0,0,1
12193,1,87000,M,,582.68,582,Menor a 1M,74.0,> 64 y <= 75 Anios,1.0,,853,649.0,664,,,,,0.0,23.34,23.34,0,0,1
12194,1,84000,M,,449558.3,449557,Menor a 1M,74.0,> 64 y <= 75 Anios,2.0,1500000.0,867,761.0,761,,INDEPENDIENTES,,,0.0,18542.82,18542.82,0,0,1
12195,1,87000,M,,246.0,246,Menor a 1M,61.0,> 55 y <= 64 Anios,1.0,13902041742.0,803,814.0,701,,,,,0.0,9.86,9.86,0,0,1
12196,1,87000,M,,23589.0,23589,Menor a 1M,57.0,> 55 y <= 64 Anios,1.0,16034326575.0,769,669.0,669,,INDEPENDIENTES,,,0.0,945.5,945.5,0,0,1
12197,1,87000,F,,7.0,7,Menor a 1M,60.0,> 55 y <= 64 Anios,1.0,7105442.0,818,827.0,681,,EMPLEADOS PUBLICOS,,,0.0,0.29,0.29,0,0,1
12198,1,87000,F,,10000.0,10000,Menor a 1M,50.0,> 45 y <= 50 Anios,1.0,17993338123.0,634,643.0,534,,INDEPENDIENTES,,,0.0,400.82,400.82,0,0,1
12199,1,83000,F,102596069.06,79418.35,102675487,Entre 100M y 300M,63.0,> 55 y <= 64 Anios,3.0,5389115.0,829,829.0,739,,INDEPENDIENTES,,,2850849.34,3093.65,2853942.99,0,0,1
12200,1,83000,F,6501721.03,685618.21,7187338,Entre 5M y 10M,64.0,> 55 y <= 64 Anios,3.0,4348026.0,750,634.0,626,AMBOS,PENSIONADOS,X,X,1537079.07,41514.7,14228969355.0,1,1,1
12201,1,84000,F,22466.57,0.0,0,Menor a 1M,65.0,> 64 y <= 75 Anios,2.0,1563991.0,801,793.0,617,,INDEPENDIENTES,,X,1006091.49,5155.12,1069583.15,0,1,1
12202,1,87000,F,,1646.0,1646,Menor a 1M,64.0,> 55 y <= 64 Anios,1.0,11334262797.0,748,748.0,611,,,,,0.0,65.98,65.98,0,0,1
12203,1,84000,F,32918053.93,1145060.89,34063112,Entre 20M y 50M,63.0,> 55 y <= 64 Anios,3.0,663821.0,816,581.0,720,PENSION,PENSIONADOS,,X,1630870.41,9179.12,1456435.95,0,1,1
